,GLCptspp,PGI,PFK,FBA,TPI,PGK,GAPD,ENO,PGM,PYK,PDH,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TALA,TKT2,CS,ACONTb,ACONTa,ICDHyr,SUCOAS,AKGDH,SUCDi,FUM,MDH,PPC,ME2,ICL,MALS,ACKr,PTAr,LDH_D,ACALD,ALCD2x,EX_co2_e_,EX_etoh_e_,EX_ac_e_,EX_lac_D_e_,EX_succ_e_,EX_pyr_e_,EX_for_e_,Ec_biomass_iAF1260_core_59p81M
score,177.0,195.0,39.0,39.0,216.0,216.0,216.0,197.0,197.0,0.0,67.0,185.0,206.0,206.0,210.0,202.0,217.0,217.0,204.0,1.0,1.0,1.0,59.0,23.0,47.0,0.0,14.0,3.0,63.0,190.0,55.0,55.0,92.0,92.0,0.0,0.0,0.0,107.0,84.0,24.0,0.0,84.0,0.0,26.0,144.0
pvalue,0.39265386015176773,0.6391207613050938,2.780929207801819e-05,2.780929207801819e-05,0.983013316988945,0.983013316988945,0.983013316988945,0.6699504218995571,0.6699504218995571,3.725290298461914e-09,0.0006687678396701813,0.4946499206125736,0.8147765882313251,0.8147765882313251,0.8815100230276585,0.7493221610784531,1.0,1.0,0.7818621210753918,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09,0.00029926374554634094,2.384185791015625e-06,7.73109495639801e-05,3.725290298461914e-09,4.0978193283081055e-07,1.862645149230957e-08,0.0004513449966907501,0.5647306069731712,0.00019468367099761963,0.00019468367099761963,0.005566027015447617,0.005566027015447617,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,0.01574459671974182,0.0029922761023044586,2.8386712074279785e-06,3.725290298461914e-09,0.0029922761023044586,3.725290298461914e-09,3.982335329055786e-06,0.1154516153037548
