,GLCptspp,PGI,PFK,FBA,TPI,PGK,GAPD,ENO,PGM,PYK,PDH,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TALA,TKT2,CS,ACONTb,ACONTa,ICDHyr,SUCOAS,AKGDH,SUCDi,FUM,MDH,PPC,ME2,ICL,MALS,ACKr,PTAr,LDH_D,ACALD,ALCD2x,EX_co2_e_,EX_etoh_e_,EX_ac_e_,EX_lac_D_e_,EX_succ_e_,EX_pyr_e_,EX_for_e_,Ec_biomass_iAF1260_core_59p81M
score,197.0,130.0,11.0,11.0,161.0,192.0,192.0,165.0,165.0,28.0,70.0,192.0,160.0,160.0,167.0,153.0,172.0,172.0,161.0,30.0,30.0,30.0,61.0,44.0,56.0,30.0,40.0,30.0,41.0,63.0,22.0,22.0,104.0,104.0,0.0,151.0,151.0,74.0,147.0,65.0,0.0,154.0,178.0,200.0,119.0
pvalue,0.6699504218995571,0.05919632688164711,2.0489096641540527e-07,2.0489096641540527e-07,0.2297072820365429,0.5940011255443096,0.5940011255443096,0.2652079239487648,0.2652079239487648,5.5246055126190186e-06,0.0008884184062480927,0.5940011255443096,0.22136975452303886,0.22136975452303886,0.2842625416815281,0.16885415464639664,0.33573371544480324,0.33573371544480324,0.2297072820365429,7.577240467071533e-06,7.577240467071533e-06,7.577240467071533e-06,0.000368364155292511,5.336105823516846e-05,0.00021718069911003113,7.577240467071533e-06,3.1795352697372437e-05,7.577240467071533e-06,3.628432750701904e-05,0.0004513449966907501,1.996755599975586e-06,1.996755599975586e-06,0.012943167239427567,0.012943167239427567,3.725290298461914e-09,0.1556677184998989,0.1556677184998989,0.0012797452509403229,0.13159068673849106,0.0005505755543708801,3.725290298461914e-09,0.17574355751276016,0.40468135103583336,0.7172092758119106,0.03262323513627052
